epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1062.88,2.02444,2.67836,1.49124,0.61182,0.12792,0.12311,0.06342,1.994,2.48503,1.31536,0.0669693,0.000266377,0.000266377
2,2065.88,1.90729,2.43943,1.42923,0.55172,0.1633,0.15505,0.07396,1.90908,2.25859,1.26528,0.0338968,0.000527278,0.000527278
3,3224.46,1.85589,2.34071,1.39133,0.55162,0.1565,0.14691,0.07511,1.86865,2.15334,1.25114,0.000801718,0.000765487,0.000765487
4,4204.4,1.82182,2.25089,1.37839,0.58407,0.18197,0.19062,0.10129,1.84999,2.10253,1.25049,0.000724371,0.000724371,0.000724371
5,5159.05,1.80555,2.20713,1.36878,0.58322,0.18683,0.18234,0.0937,1.85741,2.00664,1.22871,0.000668976,0.000668976,0.000668976
6,6125.93,1.81297,2.15965,1.40067,0.53039,0.19391,0.18806,0.0995,1.83097,1.95586,1.24594,0.000602,0.000602,0.000602
7,7319.67,1.77626,2.0907,1.37578,0.57265,0.21778,0.21075,0.11399,1.82363,1.93361,1.22115,0.000526371,0.000526371,0.000526371
8,8262.08,1.74536,2.01606,1.36039,0.58801,0.20118,0.21619,0.11524,1.77206,1.80823,1.21291,0.000445393,0.000445393,0.000445393
9,9286.8,1.72743,1.96412,1.35366,0.59964,0.239,0.21346,0.11289,1.76903,1.78845,1.21421,0.000362607,0.000362607,0.000362607
10,10351.8,1.71521,1.90236,1.34008,0.59888,0.23464,0.23438,0.12705,1.73741,1.72351,1.19699,0.000281629,0.000281629,0.000281629
11,11564.9,1.68427,1.84463,1.32863,0.60261,0.23135,0.23221,0.12486,1.73293,1.73675,1.18733,0.000206,0.000206,0.000206
12,12911.1,1.66621,1.81455,1.31769,0.51362,0.24652,0.23881,0.12638,1.73575,1.69955,1.19138,0.000139024,0.000139024,0.000139024
